finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
finished uploading
travel-5
k=40
time	expanded	visited	terminated	depth	cost	trace
9.15721583	123	762	55	1	3	12
9.60961699	126	786	55	1	3	12
16.33322883	180	1133	92	2	3	13
18.36123180	198	1243	102	2	3	13
112.85059786	660	4668	621	2	4	14
112.94419885	661	4672	621	2	4	14
113.02219892	662	4676	621	1	4	13
113.08459902	663	4680	621	1	4	13
529.84668994	2633	17286	1991	1	4	21
531.46909189	2640	17328	1992	1	4	21
timedout: 4230	29500	4378
finished uploading
travel-6
k=40
time	expanded	visited	terminated	depth	cost	trace
0.99840212	9	83	0	1	1	7
1.43520308	12	108	3	1	1	7
5.36641002	39	349	17	2	1	8
6.24001098	43	389	20	2	1	8
12.35522199	78	620	68	1	2	14
13.68122411	81	645	71	1	2	14
18.72003317	99	783	93	2	2	14
20.10843515	101	812	93	2	2	14
22.55764008	106	869	93	2	2	14
23.94604206	108	898	93	2	2	14
31.13765502	124	1006	181	0	3	8
88.10895514	357	2793	381	2	2	15
95.26936698	361	2833	384	2	2	15
99.46577501	368	2909	389	2	2	15
104.20818305	378	2984	398	2	2	15
120.15141106	422	3344	460	3	2	16
124.20741796	427	3399	463	3	2	16
130.21342897	462	3629	500	1	3	15
140.82144713	479	3813	530	3	2	15
143.37985206	482	3857	530	3	2	15
148.20026016	488	3929	530	3	2	15
150.78986502	491	3973	530	3	2	15
156.01587415	500	4082	531	3	2	15
157.70067716	502	4111	531	3	2	15
160.19668102	505	4156	531	3	2	15
161.86588407	507	4185	531	3	2	15
167.80949497	521	4290	543	3	2	15
169.47869802	523	4319	543	3	2	15
171.97470212	526	4364	543	3	2	15
173.65950513	528	4393	543	3	2	15
188.01153016	581	4777	618	1	3	17
195.45274305	591	4900	623	4	2	16
198.52594900	594	4944	623	4	2	16
202.58195615	598	5004	623	4	2	16
205.63956118	601	5048	623	4	2	16
211.25557113	608	5136	623	4	2	16
214.32877707	611	5180	623	4	2	16
218.40038419	615	5240	623	4	2	16
221.45798898	618	5284	623	4	2	16
223.84479308	626	5356	626	1	2	16
finished uploading
travel-7
k=40
time	expanded	visited	terminated	depth	cost	trace
1.13880181	13	100	0	1	1	7
1.70040298	16	121	11	1	1	7
2.65200496	22	177	22	1	1	7
4.27440786	25	198	31	1	1	7
4.75800800	33	212	54	0	3	8
10.79521894	87	475	173	0	4	9
11.96522093	104	572	182	1	4	10
13.50962400	112	648	183	2	1	8
18.54843283	125	742	229	2	1	8
23.93044186	141	871	275	2	1	8
27.47164798	152	947	313	2	1	8
48.64088583	266	1531	596	1	3	13
51.85449100	282	1603	624	1	5	22
53.21169400	284	1620	632	1	5	24
56.20689893	304	1735	674	1	4	14
72.21252680	369	2103	885	1	3	15
76.48693395	385	2175	914	1	5	25
78.49933791	387	2192	924	2	5	27
85.95615101	425	2419	1005	1	4	16
90.49575901	453	2551	1075	1	4	17
92.64856291	468	2629	1117	1	3	15
97.11017084	487	2763	1142	1	5	26
99.34097481	490	2796	1150	1	5	28
106.45458698	523	2935	1258	1	4	19
111.50899601	550	3071	1349	1	3	17
