finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
276.18608594	3013	13483	3020	1	9	19
finished uploading
travel-5
k=40
time	expanded	visited	terminated	depth	cost	trace
10.12441802	150	982	54	0	5	14
20.37363601	312	1906	105	0	5	12
32.86925793	467	2885	182	0	6	15
35.98926306	499	3054	230	0	6	16
38.54766798	518	3187	258	0	7	20
55.92609811	698	4379	353	1	7	12
56.37849903	701	4403	353	1	7	12
68.06292009	837	5241	429	0	6	15
100.66697693	1232	7668	616	0	6	16
101.36897802	1240	7709	621	0	6	16
107.99899006	1304	8121	660	0	6	15
112.75699806	1339	8383	698	0	7	16
126.28222203	1464	9054	952	0	7	14
127.88902497	1479	9147	953	0	7	20
131.96063209	1502	9335	978	0	7	18
132.42863297	1506	9362	978	0	7	20
132.92783308	1510	9390	978	0	7	19
133.41143394	1514	9418	979	0	7	22
133.89503503	1518	9446	980	0	7	20
134.37863588	1522	9474	981	0	7	19
140.54064703	1560	9687	1124	0	7	21
142.58424997	1575	9765	1164	0	7	19
144.75265408	1596	9856	1222	0	8	20
147.07705808	1604	9932	1235	0	8	21
167.57549405	1814	11233	1335	1	7	15
205.26516104	2121	13182	1605	1	8	16
216.35678005	2190	13640	1711	1	9	21
217.13678098	2194	13668	1717	1	9	22
285.43370104	2977	18107	2090	0	8	17
313.10815001	3371	20192	2196	0	7	20
313.82575107	3379	20235	2201	0	7	20
316.58695602	3412	20401	2226	0	7	19
319.70696211	3435	20522	2299	0	7	19
380.76546907	3997	24108	2858	0	7	18
405.16391206	4283	25686	3083	0	7	20
405.36671209	4286	25698	3085	0	7	20
406.17791295	4291	25730	3091	0	7	20
406.36511397	4294	25742	3093	0	7	20
407.16071510	4299	25774	3099	0	7	18
407.36351490	4302	25786	3101	0	7	18
finished uploading
travel-6
k=40
time	expanded	visited	terminated	depth	cost	trace
0.46800089	9	68	1	0	3	8
3.47880578	38	260	9	0	4	10
9.11041594	132	824	50	0	5	12
9.46921682	136	852	51	0	5	13
9.68761683	142	876	55	0	5	14
9.78121686	144	884	57	0	5	15
11.52841997	160	992	85	0	5	16
14.80442595	192	1194	127	1	5	9
16.22402883	205	1305	130	1	5	7
16.81682992	208	1330	133	1	5	7
35.39646196	454	2781	339	0	5	15
44.03887677	555	3444	396	0	6	17
48.11048484	575	3645	398	0	6	15
49.46768689	583	3721	400	0	6	16
51.48008990	600	3844	408	0	6	17
51.58929086	602	3852	410	0	6	17
51.93249083	608	3876	416	0	6	17
54.97449684	631	4030	466	0	6	16
57.36130095	646	4133	489	0	6	18
57.84490180	655	4166	502	0	6	17
70.20012283	747	4800	659	1	6	11
78.04693699	825	5317	715	1	7	13
78.49933791	829	5345	716	1	7	14
79.84094000	841	5413	738	1	7	18
91.83736086	1033	6402	827	0	6	17
127.01542282	1465	9001	1075	0	6	17
175.64070892	1920	11857	1558	0	6	16
217.99478292	2390	14486	2168	0	7	20
219.69518590	2397	14556	2172	0	7	20
221.86359000	2407	14651	2172	0	7	19
228.25960088	2427	14852	2176	0	7	18
232.44040799	2447	15042	2178	0	7	20
234.51521182	2456	15133	2180	0	7	20
234.95201278	2458	15152	2180	0	7	19
235.37321281	2460	15171	2180	0	7	19
238.74281883	2476	15324	2185	0	7	18
239.16401982	2478	15343	2185	0	7	20
240.83322287	2486	15419	2189	0	7	19
241.25442386	2488	15439	2189	0	7	18
241.27002382	2488	15438	2190	0	7	19
finished uploading
travel-7
k=40
time	expanded	visited	terminated	depth	cost	trace
0.26520109	9	46	0	0	3	8
1.12320209	29	150	7	0	4	9
2.73000503	57	300	26	0	5	15
3.90000701	69	380	39	0	5	16
4.21200800	71	392	49	0	6	14
7.98721409	143	723	81	0	5	15
9.39121699	167	838	96	0	6	14
14.36762595	210	1119	163	1	6	10
14.78882599	215	1156	165	1	5	9
15.91202807	225	1249	166	1	5	7
16.33322906	228	1270	175	1	5	7
18.57963300	258	1403	222	1	7	18
20.93523693	272	1505	257	1	8	16
22.16763902	296	1588	273	0	6	16
34.13285995	451	2275	440	0	7	19
34.42926097	453	2274	456	0	7	25
34.77246094	455	2277	471	0	7	25
41.07487202	476	2480	543	0	7	24
44.27287793	494	2597	597	0	7	26
47.39288402	510	2716	637	0	8	23
47.40848398	510	2715	637	0	8	21
49.40528703	518	2784	649	0	8	22
58.03210211	624	3362	708	1	6	7
58.59370303	627	3383	719	1	6	7
60.90250707	665	3535	743	1	7	16
67.70411897	729	3891	812	1	8	16
67.78211904	731	3895	813	1	8	15
88.12455511	925	4875	1039	0	8	21
104.58258414	1096	5697	1209	0	7	22
104.78538394	1101	5705	1216	0	7	22
108.29539108	1133	5864	1273	0	7	24
121.99221492	1259	6487	1442	0	8	21
173.78430605	1452	8077	1929	0	9	23
179.58751607	1510	8351	1982	1	8	15
182.58272099	1546	8509	2030	1	8	14
187.10672903	1591	8728	2109	1	7	15
189.08793211	1599	8782	2129	1	9	26
192.45753813	1623	8867	2162	1	8	17
194.93794298	1648	8967	2207	1	7	16
201.17795396	1694	9276	2266	1	7	16
finished uploading
travel-8
k=40
time	expanded	visited	terminated	depth	cost	trace
10.60801888	117	1320	32	0	5	11
23.68084097	244	2705	94	0	5	11
25.11604404	250	2782	102	0	5	13
25.66204500	254	2831	103	0	5	13
52.88409305	524	5663	173	0	6	15
54.17889500	534	5778	174	0	6	15
87.99975395	791	8951	240	0	6	14
103.05378103	899	10230	292	0	6	14
106.62618709	921	10523	293	0	6	14
141.36744809	1228	13686	532	0	6	15
142.44385004	1240	13788	538	0	6	15
142.98985100	1246	13839	541	0	6	14
144.05065298	1258	13941	547	0	6	14
146.98345804	1271	14126	551	0	6	14
148.63706088	1278	14225	551	0	6	15
