finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
950.26006913	4337	19360	6075	3	17	42
958.59048414	4347	19412	6107	3	17	47
finished uploading
travel-5
k=40
time	expanded	visited	terminated	depth	cost	trace
80.05934095	562	3616	476	1	7	12
81.90014386	581	3718	499	1	7	12
258.11805296	1466	9275	1429	2	11	20
260.98845792	1475	9333	1449	2	11	20
313.46695089	1701	10901	1822	0	5	14
315.38575387	1714	10989	1827	1	9	22
317.49175787	1721	11034	1843	1	10	22
323.68496895	1738	11163	1862	2	13	33
343.94940400	1909	12283	1997	1	7	15
346.88220882	1924	12389	2006	2	11	23
349.30021381	1936	12459	2029	1	9	21
353.29382086	1948	12547	2054	2	12	23
357.27182794	1965	12647	2075	1	10	21
362.06103587	1982	12765	2087	2	13	32
371.09345198	1996	12866	2130	2	13	31
377.97306395	2011	12971	2157	3	15	34
397.73829889	2146	13699	2276	1	9	18
398.58069992	2151	13731	2278	1	9	18
400.63990402	2175	13840	2286	1	9	13
401.27950501	2179	13865	2286	1	9	13
410.92032194	2255	14283	2366	1	8	15
412.32432389	2262	14323	2381	1	8	15
420.07753801	2311	14614	2432	1	9	17
423.57194400	2328	14729	2463	1	9	23
424.53914595	2333	14761	2466	1	9	23
472.99283099	2549	16181	2895	1	9	23
477.47003889	2564	16287	2904	2	13	31
497.28207302	2649	16747	3096	1	11	29
502.07128191	2665	16858	3126	1	11	31
504.30208588	2673	16912	3139	1	11	29
665.23196793	3059	19608	3764	3	16	33
699.16202784	3141	20139	3869	2	14	31
704.66883802	3154	20217	3895	2	13	35
705.43323898	3156	20226	3905	2	13	35
732.39008594	3189	20514	4018	2	14	31
736.00929284	3196	20562	4034	2	14	30
746.83571196	3221	20742	4082	2	14	32
1058.08745790	4526	28754	5511	2	14	31
1068.30547595	4559	28968	5559	2	12	20
1070.17747998	4565	29001	5571	2	12	20
finished uploading
travel-6
k=40
time	expanded	visited	terminated	depth	cost	trace
0.49920106	9	68	1	0	3	8
1.62240314	23	177	7	1	5	9
4.32120800	45	368	18	1	5	7
4.74240804	48	393	21	1	5	7
5.10120916	52	410	32	1	7	18
7.83121419	83	618	58	0	4	10
18.73563313	165	1176	143	2	11	31
21.55923796	176	1247	177	1	6	11
23.68084216	190	1347	191	1	7	14
27.97084904	218	1544	226	1	7	13
33.02525806	264	1861	262	1	8	20
35.66166306	282	1964	294	1	8	17
40.70047116	321	2208	334	1	8	18
46.02008104	342	2381	374	1	8	18
56.26929903	408	2818	455	1	7	16
60.68410707	445	3046	488	1	7	16
61.86970901	452	3085	508	1	7	16
62.94611096	459	3126	526	1	7	18
63.99131203	466	3166	548	1	7	17
86.20575118	578	4015	727	1	9	29
87.92175412	584	4050	753	1	9	28
101.24417806	618	4341	864	2	9	19
107.15658808	640	4538	892	2	7	8
108.68539119	650	4590	911	2	9	18
110.32339406	658	4644	930	2	7	8
111.89899707	668	4696	950	2	9	18
141.83544898	779	5415	1117	2	12	21
153.64467001	823	5714	1223	2	11	21
173.84670496	895	6217	1398	2	7	10
202.23875499	1071	7345	1609	0	5	12
202.59755611	1075	7373	1610	0	5	13
202.81595612	1081	7397	1614	0	5	14
202.90955615	1083	7405	1616	0	5	15
204.54755902	1099	7513	1644	0	5	16
212.40997314	1161	7884	1749	1	8	16
214.56277704	1177	7992	1767	1	7	15
217.23038197	1191	8093	1783	1	8	18
223.04919219	1223	8305	1830	1	8	17
228.50920105	1265	8576	1882	1	9	29
231.16120601	1278	8666	1915	1	7	16
finished uploading
travel-7
k=40
time	expanded	visited	terminated	depth	cost	trace
1.32600284	9	46	0	0	3	8
2.76120496	28	154	14	1	7	18
4.39920783	50	272	37	0	4	9
5.27280903	62	334	43	1	8	16
10.49881887	100	569	83	2	11	31
12.52682185	110	636	106	1	5	9
14.02442503	124	735	120	1	5	7
14.63282585	129	759	138	1	5	7
23.11924100	191	1123	236	1	9	29
24.35164285	195	1144	257	1	9	28
27.69004893	207	1198	290	2	13	28
29.92085290	218	1262	299	2	12	27
31.18445492	224	1288	307	2	12	28
38.68806791	273	1608	396	0	5	15
40.09207106	285	1688	409	0	5	16
42.04207397	296	1756	442	0	6	14
49.45208693	345	2046	523	1	9	29
51.41769004	356	2121	544	1	6	7
52.04169202	360	2143	557	1	6	7
54.94329691	393	2272	599	1	9	27
58.90570402	418	2385	637	1	10	25
64.00691295	459	2604	679	1	10	26
65.67611599	467	2646	704	1	10	26
69.45132184	485	2748	748	1	10	26
71.71332598	495	2805	768	1	10	24
73.47612906	506	2854	794	1	10	25
81.21374297	548	3088	911	1	9	27
101.50937796	614	3558	1085	1	11	26
102.35177994	617	3576	1089	1	11	25
110.18299389	632	3672	1151	3	16	41
114.36380100	650	3750	1166	2	14	39
120.19821095	661	3827	1191	2	14	38
122.97501588	667	3866	1205	2	14	37
129.51142788	694	4003	1240	2	13	45
147.10825896	751	4339	1349	2	13	44
152.34986782	762	4401	1393	2	13	44
157.52907705	773	4463	1437	2	13	43
214.18837595	916	5558	1752	3	15	47
220.98998785	925	5591	1794	3	17	41
233.23600984	944	5680	1846	2	15	39
finished uploading
travel-8
k=40
time	expanded	visited	terminated	depth	cost	trace
11.82482100	105	1202	54	1	7	14
16.47362900	120	1377	63	2	11	22
20.56083608	136	1557	90	1	9	20
26.13004613	148	1703	115	2	12	22
31.99565601	169	1971	138	1	7	12
35.27166200	180	2097	143	2	11	20
36.20766306	187	2173	146	1	7	12
38.17326713	197	2286	148	1	9	18
40.84087110	204	2366	166	2	12	20
44.97487903	230	2642	211	1	7	14
49.53008699	245	2817	220	2	11	22
53.50809407	261	2995	249	1	9	20
58.73410296	273	3141	274	2	12	22
83.69414711	386	4471	368	1	7	11
87.42255306	397	4597	373	2	11	19
88.54575515	404	4673	376	1	7	11
90.87015915	414	4785	381	1	9	17
93.60016418	421	4864	402	2	12	19
95.92456818	429	4965	402	1	7	11
99.65297508	440	5091	407	2	11	19
100.76057696	447	5167	410	1	7	11
103.10058117	457	5279	416	1	9	17
105.81498599	464	5358	437	2	12	19
193.00353909	840	9634	902	1	10	17
194.17354107	843	9666	903	1	10	17
196.43554497	850	9746	908	1	10	18
201.98915505	871	9971	934	1	10	20
203.23715711	876	10021	935	1	10	20
205.98276210	890	10164	939	1	9	21
209.08716702	899	10273	947	1	9	21
229.41400313	942	10803	973	2	13	28
231.89440703	946	10851	978	2	13	28
234.12521100	950	10899	983	2	13	29
238.54001904	960	11005	991	2	13	27
242.26842499	966	11075	1001	2	13	27
246.87043309	974	11177	1013	2	13	28
258.47685409	1000	11480	1055	2	13	31
263.57806301	1008	11577	1076	2	13	31
274.99728298	1027	11809	1146	2	13	30
281.01889300	1037	11929	1171	2	13	30
