finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
281.81449509	1278	8104	1544	1	5	23
282.71929598	1283	8136	1547	1	5	23
364.80664110	1629	10082	2160	3	7	31
370.56305099	1638	10140	2189	3	7	31
673.87438297	2325	14649	3287	2	6	19
683.64000106	2350	14803	3333	2	6	19
timedout: 3190	20638	4700
finished uploading
travel-6
k=40
time	expanded	visited	terminated	depth	cost	trace
0.98280215	7	77	0	1	1	7
1.40400195	10	102	3	1	1	7
4.88280797	28	216	76	2	1	8
7.62841296	39	282	107	2	3	18
9.25081611	47	336	126	2	1	8
12.02762103	58	401	159	2	3	18
18.89163303	89	663	185	2	2	14
20.24883509	91	692	185	2	2	14
23.57164097	100	764	194	2	2	14
24.94444394	102	793	194	2	2	14
29.99885297	120	934	213	1	2	14
31.71485615	125	967	219	1	2	14
37.62726593	149	1130	259	1	4	14
67.68851900	231	1633	428	1	3	9
75.47293210	266	1866	479	1	3	16
76.62733412	273	1906	498	1	3	16
112.99099803	354	2532	669	1	5	18
320.51816297	639	4544	1811	2	5	25
322.71776700	641	4574	1811	2	5	25
329.09817815	650	4640	1827	2	5	25
331.31338215	652	4670	1827	2	5	25
348.98821306	675	4850	1868	2	5	27
351.62461710	677	4880	1868	2	5	27
358.11422896	686	4946	1885	2	5	27
360.73503304	688	4976	1885	2	5	27
410.32752109	746	5508	2084	4	5	28
413.97792697	749	5545	2084	4	5	28
422.86994314	758	5615	2103	4	5	28
426.50474906	761	5652	2103	4	5	28
437.06596708	778	5801	2129	3	2	15
438.71956992	780	5830	2129	3	2	15
441.19997501	783	5875	2129	3	2	15
442.85357809	785	5904	2129	3	2	15
530.24493098	898	6582	2489	3	5	27
532.89693594	900	6611	2489	3	5	27
539.21494699	909	6678	2501	3	5	27
541.80455112	911	6708	2501	3	5	27
554.44057393	929	6839	2527	3	5	27
557.07697797	931	6869	2527	3	5	27
589.15063500	959	7096	2601	3	5	29
finished uploading
travel-7
k=40
time	expanded	visited	terminated	depth	cost	trace
1.10760188	11	96	0	1	1	7
1.71600294	15	118	13	1	1	7
2.68320394	22	175	26	1	1	7
3.29160500	27	199	44	1	1	7
4.41480708	43	271	68	1	5	18
7.06681204	59	359	92	2	7	31
8.51761508	65	378	114	0	3	8
13.19762301	93	484	222	1	6	16
17.45642996	115	620	251	2	9	28
19.64043403	126	684	260	2	8	27
24.86644292	137	749	276	3	10	41
35.94246292	148	814	297	4	12	58
38.62566710	159	861	328	2	8	28
44.53807807	175	953	358	3	9	47
55.16169691	196	1042	404	3	11	41
58.42210197	204	1072	422	2	10	39
69.01452088	231	1276	510	1	3	9
71.77572608	256	1378	556	1	3	16
72.75852704	263	1402	577	1	3	16
79.93454003	303	1597	657	1	5	25
81.46334291	310	1622	682	1	5	25
83.52254605	319	1653	722	1	7	29
104.09898210	344	1779	791	4	13	57
126.34462190	355	1848	813	5	14	78
131.58623099	365	1887	834	3	11	42
136.35983896	375	1951	847	3	10	42
143.28625107	386	2001	892	3	10	43
152.31866693	401	2070	927	3	12	56
162.94228601	410	2130	961	3	12	55
195.60874295	460	2393	1074	2	9	45
209.83596802	502	2637	1168	2	9	44
246.38683200	576	3171	1346	4	11	66
284.90330005	672	3625	1715	2	11	39
344.46420503	709	3864	1876	5	15	76
367.66144490	727	3946	1906	4	14	76
391.26428699	738	4010	1950	4	14	75
405.17951107	744	4048	1975	4	14	74
563.95658994	917	5145	2510	6	16	101
593.86184287	1028	5964	2686	0	4	9
595.49984598	1044	6056	2697	1	7	28
finished uploading
travel-8
k=40
time	expanded	visited	terminated	depth	cost	trace
3.94680691	18	213	1	1	4	12
6.50521088	33	365	4	1	4	12
88.84215593	201	2462	275	1	3	11
92.58616185	212	2588	280	2	5	19
94.27096486	215	2618	286	2	6	19
95.39416695	222	2695	288	1	3	11
97.70297098	232	2807	293	1	5	17
105.95538592	247	2982	318	3	7	30
111.25939488	258	3100	324	2	7	28
114.98780203	264	3171	333	2	7	27
118.66940784	267	3201	343	3	8	29
132.02303195	278	3329	356	4	9	44
133.52063394	286	3427	359	1	3	11
137.26464105	297	3553	364	2	5	19
139.69824505	300	3583	370	2	6	19
140.82144690	307	3660	372	1	3	11
143.16145086	317	3772	378	1	5	17
151.33586502	332	3947	403	3	7	30
155.98467398	343	4065	409	2	7	28
159.68188000	349	4137	417	2	7	27
163.31668591	352	4166	428	3	8	29
176.79510999	363	4294	441	4	9	44
264.87286496	586	6957	763	1	4	12
265.93366694	590	7002	763	1	4	12
420.48313785	876	10661	1270	1	6	17
421.65313983	879	10693	1271	1	6	17
467.50162101	980	11666	1485	2	6	19
473.19563103	986	11738	1494	3	8	29
478.90524101	999	11864	1501	2	6	19
484.61485100	1005	11936	1510	3	8	29
502.39888191	1048	12389	1544	2	7	22
506.40808892	1058	12476	1552	2	7	22
511.88369894	1072	12644	1561	2	5	19
516.90690804	1083	12776	1591	2	5	19
990.08693886	1777	20716	2862	3	9	42
995.09454703	1781	20764	2870	3	9	42
1011.14697599	1799	20974	2895	3	9	41
1018.68178892	1805	21045	2909	3	9	41
1025.96700191	1811	21116	2923	3	9	40
1033.39261484	1817	21186	2938	3	9	40
