finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
finished uploading
travel-5
k=40
time	expanded	visited	terminated	depth	cost	trace
8.72041607	110	698	54	1	3	12
11.70002103	113	722	54	1	3	12
18.90723395	165	1062	92	2	3	13
20.93523693	183	1172	102	2	3	13
78.76453900	436	3094	392	2	4	14
78.85813904	437	3098	392	2	4	14
120.08901095	676	4782	657	1	4	13
120.15141106	677	4786	657	1	4	13
242.45562601	1146	7856	1247	3	5	26
243.82842898	1149	7880	1247	3	5	26
245.37283111	1152	7902	1255	3	5	21
246.66763401	1155	7925	1260	3	5	21
1067.38507509	3701	24987	3889	2	4	16
1067.71267605	3704	25000	3891	2	4	16
timedout: 4146	27436	4782
finished uploading
travel-6
k=40
time	expanded	visited	terminated	depth	cost	trace
0.98280096	7	77	0	1	1	7
1.40400195	10	102	3	1	1	7
2.83920503	17	178	7	2	1	8
3.68160605	21	218	10	2	1	8
12.83882189	59	511	67	2	2	14
14.19602489	61	540	67	2	2	14
16.61402893	66	597	67	2	2	14
17.97123098	68	626	67	2	2	14
29.49965191	108	897	118	1	2	14
30.77885389	111	922	121	1	2	14
45.50528002	153	1242	222	3	2	15
47.15888286	155	1271	222	3	2	15
49.62368703	158	1316	222	3	2	15
51.58928990	160	1345	222	3	2	15
57.29889989	174	1450	234	3	2	15
58.93690300	176	1479	234	3	2	15
61.40170789	179	1524	234	3	2	15
63.05531001	181	1553	234	3	2	15
153.37946892	348	2694	561	4	2	16
156.40587401	351	2738	561	4	2	16
161.10148287	355	2798	561	4	2	16
164.14348793	358	2842	561	4	2	16
169.63469791	365	2930	561	4	2	16
172.67670298	368	2974	561	4	2	16
176.70150995	372	3034	561	4	2	16
179.74351501	375	3078	561	4	2	16
238.55561900	451	3518	812	3	2	16
242.50242591	456	3573	815	3	2	16
249.81883788	469	3707	823	3	2	15
252.34604287	472	3751	823	3	2	15
256.19924998	478	3823	823	3	2	15
258.74205399	481	3867	823	3	2	15
323.18576694	632	4916	1097	2	2	15
325.65057206	636	4956	1100	2	2	15
329.75337887	643	5032	1105	2	2	15
334.26178694	653	5107	1114	2	2	15
421.16953897	872	6530	1512	2	3	18
421.91834092	875	6553	1517	2	3	18
428.17395186	897	6681	1540	2	3	19
429.78075504	901	6719	1547	2	3	19
finished uploading
travel-7
k=40
time	expanded	visited	terminated	depth	cost	trace
1.12320209	11	96	0	1	1	7
1.70040298	14	117	11	1	1	7
2.63640499	20	173	22	1	1	7
3.05760598	23	194	31	1	1	7
3.68160701	33	208	62	0	3	8
10.53001904	79	480	175	2	1	8
15.33482718	92	574	221	2	1	8
20.43603611	108	703	267	2	1	8
23.83684206	119	779	305	2	1	8
64.22531295	257	1623	731	2	3	18
65.50451612	262	1644	743	2	3	18
67.20491910	268	1682	755	2	3	19
68.87412095	273	1718	765	2	3	19
157.99707818	477	2946	1479	0	4	9
158.74587917	491	3025	1483	1	4	10
164.43988895	539	3237	1585	1	3	13
167.65349507	555	3309	1613	1	5	22
169.04189706	557	3326	1621	1	5	24
172.72350407	577	3441	1663	1	4	14
180.10231709	614	3663	1759	1	3	15
